Name,Description_Village,Price_Village,Description_House_menu_items.csv,Price_House_menu_items.csv,Price_Difference_House_menu_items.csv
Combo,Rice cake and lentil donut.,5.99,(1 piece of idly and 1 piece of vada),3.5,-2.49
Dahi Vada,Lentil donut soaked in sweet yogurt.,8.95,(lentil balls soaked in spiced yogurt),3.95,-4.999999999999999
Rasam,No description,7.45,(a traditional south indian spiced lentil essence soup),1.95,-5.5
Idly,A Savary rice cake from Indian subcontinent.,7.45,(steamed rice & lentil patties),3.5,-3.95
Podi Idly,Rice pancakes spiced with dry Channa Daal powder.,8.95,(idly & spicy podi mix),4.5,-4.449999999999999
Bhel Puri,"Crispy rice puffs topped with onions, tomato chutney and spices.",8.95,"(puffed rice w/ onion, tomato, chilli & spices)",3.95,-4.999999999999999
Chinese Dosa,"Topped with noodles, dosa batter, cabbage, capsicum, paneer, peas, lemon juice and some common spices.",14.95,(slices of rolled chinese veg. noodle),8.5,-6.449999999999999
Sada Dosa,Thin rice crepe.,11.95,(a thin rice crepe),4.95,-6.999999999999999
Set Dosa,Soft thick rice crepe.,11.95,(tow soft pancakes w/ spices),6.95,-4.999999999999999
Masala Dosa,Crepe with mashed potato spices.,12.95,(crepe w/ onion & potato),5.5,-7.449999999999999
Butter Sada Dosa,Crepe cooked with butter.,11.95,(crepe cooked w/ butter),5.95,-5.999999999999999
Butter Masala Dosa,Creape cooked with butter and potato.,13.75,(crepe w/ onion & potato),6.5,-7.25
Ghee Roast Masala,Clarified butter crepe.,13.75,(crepe cooked w/ pure ghee),7.5,-6.25
Masala Dosa,Spicy red crepe. Spicy.,12.95,(crepe w/ onion & potato),5.5,-7.449999999999999
Spinach Masala Dosa,Crepe cooked with spinach and potato spices.,14.95,"(crepe topped w/ spinach paste, onion & potato)",6.95,-7.999999999999999
Cheese Masala Dosa,Crepe cooked with cheddar cheese.,13.75,"(crepe w/ onion, potato & cheese)",7.95,-5.8
Spring Masala Dosa,"Crepe cooked with cabbage, onions, ball pepper, and potato.",14.95,"(spicy crepe w/ onion, tomato, chilly & potato)",7.95,-6.999999999999999
Onion Rava Masala Dosa,Semolina crepe with mashed spiced potato.,14.95,(semolina crepe w/ onion & potato),8.95,-6.0
Aloo Gobi,"Potato and creamed spinach, green peas, cauliflower mildly spiced tomato sauce.",16.0,(potatoes & cauliflower cooked w/ spices),7.5,-8.5
Palak Paneer,Spinach and homemade cheese cooked with spices.,16.0,(spinach cooked w/ cottage cheese & spices),7.5,-8.5
Kadai Paneer,Fresh cheese made by curdling milk with lemon.,16.0,(cottage cheese cooked w/ spices),7.5,-8.5
Roti,No description,3.95,No description,1.25,-2.7
Poori,Puffed up fried bread.,6.0,No description,1.95,-4.05
Lemon Rice,Riced cooked with lemon juice and spices.,12.95,(fragrant rice cooked w/ lemon juice & spices),6.5,-6.449999999999999
Tamarind Rice,Rice cooked with tamarind and spices.,12.95,(rice cooked w/ tamarind & spices),6.5,-6.449999999999999
Tomato Rice,Rice cooked with tomato and spices.,12.95,(rice cooked w/ tomato & spices),6.5,-6.449999999999999
Coconut Rice,Rice cooked with ground coconut and nuts.,12.95,(rice cooked w/ coconut & spices),6.95,-5.999999999999999
Yogurt Rice,Rice smothered with yogurt.,12.95,(rice cooked w/ yogurt),6.5,-6.449999999999999
Gulab Jamun,No description,6.0,(solidified milk balls deep fried w/ sugar & syrup),3.5,-2.5
Badam Halwa,No description,7.45,w/ vanila ice cream (on side $2 extra),4.0,-3.45
